ID,DIR,ESTRATO,LOCALIDAD,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM
229,KR 88C 52 05 SUR,2,7,2,315.2,300000,94560000,4,A,30,14,18.0,387.5,180000,3240000,142424000,367546,2
230,AC 116 60 37,5,11,2,314.6,450000,141570000,33,A,58,10,80.2,336.0,180000,14436000,258326000,768827,2
230,AC 116 60 37,5,11,2,314.6,450000,141570000,20,A,54,10,141.2,336.0,400000,56480000,258326000,768827,2
230,AC 116 60 37,5,11,2,314.6,450000,141570000,33,A,56,10,114.6,336.0,400000,45840000,258326000,768827,2
231,KR 124 63L 33,2,10,2,269.3,320000,86179200,25,A,58,16,269.3,269.3,220000,59248200,145427400,540000,1
232,KR 117A 64 27,2,10,2,71.4,350000,24990000,33,A,50,13,73.2,73.2,150000,10980000,35970000,491393,1
251,CL 20 16A 26,0,14,2,538.0,250000,134500000,25,A,46,30,207.7,538.8,300000,62310000,256408000,475887,3
251,CL 20 16A 26,0,14,2,538.0,250000,134500000,33,A,32,30,331.1,538.8,180000,59598000,279585000,518903,3
252,AC 19 16A 59,3,14,2,515.3,350000,180355000,8,A,49,30,423.8,588.3,400000,169520000,386065000,656238,2
252,AC 19 16A 59,3,14,2,515.3,350000,180355000,80,A,36,30,164.5,588.3,220000,36190000,386065000,656238,2
253,CL 18 16B 21,3,14,2,211.5,250000,52875000,33,A,45,8,118.8,295.2,260000,30888000,113751000,385335,2
253,CL 18 16B 21,3,14,2,211.5,250000,52875000,22,A,31,36,88.2,295.2,170000,14994000,119385000,404421,2
253,CL 18 16B 21,3,14,2,211.5,250000,52875000,1,A,28,36,88.2,295.2,170000,14994000,119385000,404421,2
254,CL 16 16 24,3,14,2,599.0,350000,209650000,25,A,58,36,412.3,755.9,280000,115444000,411304000,544125,2
254,CL 16 16 24,3,14,2,599.0,350000,209650000,80,A,50,36,174.9,755.9,300000,52470000,460780000,609578,2
254,CL 16 16 24,3,14,2,599.0,350000,209650000,22,A,41,36,168.7,755.9,200000,33740000,460780000,609578,2
255,KR 19 BIS 19 32,3,14,2,303.0,230000,69690000,4,A,50,18,273.3,344.5,360000,98388000,182318000,529225,3
255,KR 19 BIS 19 32,3,14,2,303.0,230000,69690000,1,A,42,18,71.2,344.5,200000,14240000,193250000,560958,3
256,CL 21 19 27,3,14,2,219.7,230000,50531000,25,A,54,25,163.0,278.8,380000,61940000,134423000,482148,3
256,CL 21 19 27,3,14,2,219.7,230000,50531000,1,A,46,25,60.4,278.8,180000,10872000,137683000,493841,3
256,CL 21 19 27,3,14,2,219.7,230000,50531000,22,A,37,25,55.4,278.8,200000,11080000,137683000,493841,3
257,CL 15 14 33,3,14,2,485.0,200000,97000000,25,A,66,30,304.5,808.0,400000,121800000,369844000,457739,2
257,CL 15 14 33,3,14,2,485.0,200000,97000000,80,A,56,30,503.5,808.0,300000,151044000,369844000,457739,2
258,CL 15 16 14,3,14,2,482.7,150000,72405000,33,A,46,22,125.4,125.4,220000,27588000,99993000,797392,2
259,CL 14 17 34,3,14,2,370.5,180000,66690000,25,A,56,25,220.2,275.3,400000,88080000,170198000,618227,2
259,CL 14 17 34,3,14,2,370.5,180000,66690000,80,A,47,36,55.1,275.3,280000,15428000,170198000,618227,2
287,AK 60 17 35,3,4,2,1597.4,300000,479220000,25,A,68,37,1602.9,1602.9,400000,641160000,1120380000,698971,3
288,DG 16 62 06,3,4,2,1091.4,320000,349257600,25,A,84,32,910.4,910.4,450000,409680000,758937600,833631,2
289,DG 16 62 85,3,4,2,2210.3,320000,707296000,25,A,73,34,2480.5,2480.5,400000,992200000,1699496000,685143,2
290,CL 14 62 33,3,4,2,450.0,300000,135000000,25,A,82,32,402.4,402.4,450000,181080000,316080000,785487,3
291,KR 65B 17 80,3,4,2,1137.5,300000,341250000,25,A,72,27,1224.8,1224.8,400000,489920000,831170000,678617,3
292,KR 65B 14 70,3,4,2,1436.6,300000,430980000,25,A,74,27,1436.6,1436.6,400000,574640000,1005620000,700000,3
293,DG 16 65A 89,3,4,2,704.0,320000,225280000,25,A,74,27,678.8,678.8,400000,271520000,496800000,731880,2
294,DG 16 65B 62,3,4,2,680.0,320000,217600000,25,A,70,42,782.0,782.0,380000,297160000,514760000,658261,2
295,AK 68 18 06,3,4,2,570.0,320000,182400000,25,A,70,42,570.0,570.0,380000,216600000,399000000,700000,2
