raiz,reempla
INSTRUMENT,OPERACION
IPS,SALUD
TRAFICO,TRANSPORTE
TERAP,SALUD
ASTRONO,PROFESIONAL/INGENIERIA
CARTOGRAF,PROFESIONAL/INGENIERIA
ALBA,COMERCIO
PECUAR,AGRICULTURA
FUNEBR,SALUD
FUNERAR,SALUD
ANESTE,SALUD
FISIOC,SALUD
VACUNACI,SALUD
CARCEL,SEGURIDAD
PEDAGO,EDUCACION
CANTANT,ARTE
CURTIDO,OPERACION
SERVICIO AL CLIENTE,ATENCION
PORTER,SEGURIDAD
ESTERE,OTROS
EPS,SALUD
POLITOL,OTROS
RADIOLO,SALUD
LAVADOR,COMERCIO
MENDIG,OTROS
BARREND,OTROS
UROLO,SALUD
PASANTE,OTROS
EMERGENCIOL,SALUD
SST,PROFESIONAL/INGENIERIA
AUXIL,ATENCION
ASISTEN,ATENCION
AGENT,ATENCION
ASES,ATENCION
DEMOSTRA,COMERCIO
PATOLOG,SALUD
CAPITA,FUERZAS MILITARES
ARL,SALUD
COBRAD,COMERCIO
TALENTO,COMERCIO
MARINE,MARINEROS
ADUANA,ATENCION
SOCIAL,ATENCION
EMPALMADO,OPERACION
RECOLECT,COMERCIO
FUMIG,OTROS
INSTURM,OTROS
QUIMIC,PROFESIONAL/INGENIERIA
FONOAUDI,SALUD
METEORO,PROFESIONAL/INGENIERIA
REGENT,ATENCION
TELA,TEXTIL
CARNICER,COMERCIO
ENSAMBLAD,OTROS
ESCRITO,ARTE
GASTROENT,SALUD
POZO,OTROS
IMAGENES DIAG,SALUD
AYUDAN,ATENCION
ASEO,ATENCION
PEDIAT,SALUD
SERVIDOR PUBL,OTROS
ARCHIV,OTROS
AVICU,AGRICULTURA
TALLERIS,EDUCACION
ADIVINAD,COMERCIO
MICROBIOL,SALUD
INDEPEND,OTROS
AUX. ,ATENCION
PROFESIONAL,PROFESIONAL/INGENIERIA
CIRUJA,SALUD
AUDITOR,OTROS
DON VAPOR,OTROS
ONCOLO,SALUD
TENEDOR,OTROS
PUBLICIS,COMERCIO
BARTEN,ATENCION
VISITADORA,OTROS
NUTRICI,SALUD
FUNCIONA,OTROS
EPIDEMIO,SALUD
TASADO,COMERCIO
ANFITRI,OTROS
EMPRESARI,ADMINISTRACION
CAMARE,ATENCION
TECNIC,TECNICOS
ENDODONC,SALUD
FOTOGRAF,COMERCIO
GANAD,AGRICULTURA
EXPENDEDOR,OTROS
AMBIEN,OTROS
PROCESADOR,OPERACION
ENTRENADOR,EDUCACION
OTROS,OTROS
TRAMITADORA,OTROS
MECANOGRA,OTROS
ORIENTADO,ATENCION
PLANTA,OTROS
AGENDADOR,OTROS
MECANIC,OPERACION
VIGILANT,SEGURIDAD
RECURSOS HUMA,ATENCION
PARTICIPANT,OTROS
CRISTALE,COMERCIO
PRESIDENCIAL,CARGO POLITICO
SENADOR DE,CARGO POLITICO
LIMOS,OTROS
FILOLOG,TRADUCCION
