ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
15,001405160300000000,CL 22 S 7 32,6010215153113,3,3,4,,,,2,300.00,200000,60000000,010,A,64,6,198.00,533.00,350000,69300000,180700000,339024,1,3
15,001405160300000000,CL 22 S 7 32,6010215153113,3,3,4,,,,2,300.00,200000,60000000,080,A,63,6,100.00,533.00,140000,14000000,132640000,248856,1,3
15,001405160300000000,CL 22 S 7 32,6010215153113,3,3,4,,,,2,300.00,200000,60000000,022,A,50,6,50.00,533.00,230000,11500000,132640000,248856,1,3
15,001405160300000000,CL 22 S 7 32,6010215153113,3,3,4,,,,2,300.00,200000,60000000,010,A,58,6,185.00,533.00,140000,25900000,132640000,248856,1,3
16,001405221800000000,AC 20 SUR 6 45,6010215152223,3,3,4,,,,2,21.60,400000,8640000,033,A,40,30,21.60,21.60,250000,5400000,14040000,650000,2,3
17,001405670900000000,DG 27 SUR 8A-51 BOD 5,6030215153113,3,3,4,,,,2,281.20,220000,61864000,025,A,70,22,281.20,281.20,350000,98420000,160284000,570000,1,3
18,001406162500000000,KR 5A 33 35S,6222225152221,2,3,4,,,,2,252.32,200000,50464000,033,A,44,20,192.12,192.12,250000,48030000,98494000,512669,2,1
19,001407042200000000,CL 28A SUR 5 21,6030215152121,1,3,4,,,,2,200.20,200000,40040000,022,A,38,29,27.00,200.20,180000,4860000,79540000,2945926,2,1
19,001407042200000000,CL 28A SUR 5 21,6030215152121,1,3,4,,,,2,200.20,200000,40040000,033,A,42,29,173.20,200.20,200000,34640000,79540000,2945926,2,1
20,001412013400000000,KR 15A 33B 45 SUR,6030235152113,3,3,4,,,,2,297.00,100000,29700000,025,A,50,11,268.40,268.40,250000,67100000,96800000,360656,1,3
21,001416010200000000,CL 49 BIS SUR 5D-12,5727715153113,3,2,18,,,,2,128.00,130000,16640000,033,A,36,16,128.00,128.00,200000,15360000,32000000,250000,1,3
44,002205126100000000,KR 23 42 71 SUR,6232215153113,3,3,18,,,,2,460.80,190000,87552000,001,A,16,40,59.20,460.80,100000,5920000,157728000,342292,1,3
44,002205126100000000,KR 23 42 71 SUR,6232215153113,3,3,18,,,,2,460.80,190000,87552000,033,A,23,40,401.60,460.80,160000,64256000,156544000,339722,1,3
45,002310083100000000,AK 24 32A 05 S,6232215152221,3,3,18,,,,2,438.00,250000,109500000,025,A,57,56,268.80,655.80,300000,80640000,286890000,437466,2,1
45,002310083100000000,AK 24 32A 05 S,6232215152221,3,3,18,,,,2,438.00,250000,109500000,080,A,39,56,387.00,655.80,250000,96750000,286890000,437466,2,1
46,002205314300000000,KR 21 44 61 SUR,6232215153113,3,3,18,,,,2,546.20,190000,103778000,001,A,29,35,46.15,661.40,140000,6461000,246141000,372151,1,3
46,002205314300000000,KR 21 44 61 SUR,6232215153113,3,3,18,,,,2,546.20,190000,103778000,020,A,36,35,233.20,661.40,200000,46640000,234481000,354522,1,3
46,002205314300000000,KR 21 44 61 SUR,6232215153113,3,3,18,,,,2,546.20,190000,103778000,022,A,28,35,27.00,661.40,150000,4050000,234481000,354522,1,3
46,002205314300000000,KR 21 44 61 SUR,6232215153113,3,3,18,,,,2,546.20,190000,103778000,033,A,48,35,355.05,661.40,240000,85212000,234481000,354522,1,3
47,002205323300000000,AC 44 SUR 20 25,6232215153222,3,3,18,,,,2,526.30,350000,184205000,001,A,25,18,56.00,639.80,250000,14000000,351651000,549626,2,2
47,002205323300000000,AC 44 SUR 20 25,6232215153222,3,3,18,,,,2,526.30,350000,184205000,004,A,43,18,68.60,639.80,250000,17150000,351651000,549626,2,2
47,002205323300000000,AC 44 SUR 20 25,6232215153222,3,3,18,,,,2,526.30,350000,184205000,022,A,43,56,99.50,639.80,200000,19900000,351651000,549626,2,2
47,002205323300000000,AC 44 SUR 20 25,6232215153222,3,3,18,,,,2,526.30,350000,184205000,025,A,60,56,415.70,639.80,280000,116396000,351651000,549626,2,2
